OFFICIAL


Date
12/09/2021 10:47:36

Vacancy title,Vacancy reference number,Submission number,Date submitted,SLA deadline,Review started,Review completed,Time taken to review,SLA exceeded by (hours),Outcome,Number of issues reported,Reviewed by,Vacancy submitted by,Employer,Display name,Training provider,Vacancy postcode,Standard / Framework
IVzreUkIzF_01Sep2021_11511015103 apprenticeship,1000029711,1,09/01/2021 11:53:13,09/02/2021 11:53:11,09/02/2021 16:58:00,09/02/2021 16:58:02,0:00:01,5.08,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
UrpoeMUAuu_01Sep2021_11515728010 apprenticeship,1000029712,1,09/01/2021 11:53:42,09/02/2021 11:53:40,09/03/2021 00:23:22,09/03/2021 00:23:23,0:00:01,12.50,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
tzrraWBGLD_01Sep2021_11535695039 apprenticeship,1000029713,1,09/01/2021 11:56:28,09/02/2021 11:56:27,09/03/2021 09:11:53,09/03/2021 09:11:55,0:00:01,21.26,Approved,0,Dastest2@test.com,Provider,OUTSIDE  LIMITED,OUTSIDE  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,S32 1BB,274 Abattoir worker
DauuPlCnJK_01Sep2021_11535695667 apprenticeship,1000029715,1,09/01/2021 11:56:35,09/02/2021 11:56:34,09/03/2021 11:58:31,09/03/2021 11:58:32,0:00:01,24.03,Approved,0,Dastest2@test.com,Provider,ESFA LTD,ESFA LTD,EDUC8 TRAINING (ENGLAND) LIMITED,EH6 8HH,274 Abattoir worker
oeXoCwFElB_01Sep2021_11561131528 apprenticeship,1000029718,1,09/01/2021 11:58:02,09/02/2021 11:58:01,09/03/2021 18:59:55,09/03/2021 18:59:57,0:00:01,31.03,Approved,0,Dastest2@test.com,Provider,BUTCHER & BAKER LIMITED,BUTCHER & BAKER LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,S10 5PU,274 Abattoir worker
OKFDSCsqKc_01Sep2021_11570448291 apprenticeship,1000029719,1,09/01/2021 11:58:42,09/02/2021 11:58:41,09/03/2021 15:02:31,09/03/2021 15:02:32,0:00:01,27.06,Approved,0,Dastest2@test.com,Provider,BOSE ACCOUNTANCY  LTD,BOSE ACCOUNTANCY  LTD,EDUC8 TRAINING (ENGLAND) LIMITED,HP13 7NE,274 Abattoir worker
Clone oqxw_01Sep2021_12160349203 apprenticeship,1000029720,1,09/01/2021 12:17:23,09/02/2021 12:17:20,09/01/2021 12:17:42,09/01/2021 12:17:44,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,BS15 1LE,274 Abattoir worker
dfGdOWlZEQ_01Sep2021_12160430645 apprenticeship,1000029721,1,09/01/2021 12:18:54,09/02/2021 12:18:54,09/01/2021 12:19:26,09/01/2021 12:19:29,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,fgUorDugNM_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
XkORIrFVXi_01Sep2021_12160439079 apprenticeship,1000029723,1,09/01/2021 12:19:10,09/02/2021 12:19:08,09/01/2021 12:19:42,09/01/2021 12:19:47,0:00:04,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
AfxfgSDAHW_01Sep2021_12160415405 apprenticeship,1000029724,1,09/01/2021 12:19:11,09/02/2021 12:19:09,09/01/2021 12:19:41,09/01/2021 12:19:44,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,EbeXYiggRS_EmployerName,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
npfbRghPnG_01Sep2021_12160642813 apprenticeship,1000029722,1,09/01/2021 12:19:15,09/02/2021 12:19:14,09/01/2021 12:19:49,09/01/2021 12:19:51,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,bkRoqloPLn_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone Fgyi_01Sep2021_12193403727 apprenticeship,1000029725,1,09/01/2021 12:20:28,09/02/2021 12:20:26,09/01/2021 12:20:41,09/01/2021 12:20:43,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,YxhbWTrXcJ_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone CbvO_01Sep2021_12202419624 apprenticeship,1000029727,1,09/01/2021 12:21:22,09/02/2021 12:21:21,09/01/2021 12:21:37,09/01/2021 12:21:43,0:00:05,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,BS15 1LE,274 Abattoir worker
Clone ooVy_01Sep2021_12201871999 apprenticeship,1000029726,1,09/01/2021 12:21:22,09/02/2021 12:21:21,09/01/2021 12:21:37,09/01/2021 12:21:41,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,EbeXYiggRS_EmployerName,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
CRGNnhkJmj_01Sep2021_12212798986 apprenticeship,1000029729,1,09/01/2021 12:24:01,09/02/2021 12:24:00,09/06/2021 00:28:24,09/06/2021 00:28:26,0:00:01,84.07,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
ZBGtzuFPDF_01Sep2021_12222044163 apprenticeship,1000029730,1,09/01/2021 12:24:33,09/02/2021 12:24:32,09/01/2021 12:25:02,09/01/2021 12:25:04,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,fWVDnnKhOb_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
HOdluRPawD_01Sep2021_12222189946 apprenticeship,1000029732,1,09/01/2021 12:25:00,09/02/2021 12:24:58,09/01/2021 12:25:27,09/01/2021 12:25:29,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
seEZwxnkte_01Sep2021_12263036786 apprenticeship,1000029735,1,09/01/2021 12:28:44,09/02/2021 12:28:44,09/01/2021 12:29:16,09/01/2021 12:29:18,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
wfTtMBrkPL_01Sep2021_12265708886 apprenticeship,1000029736,1,09/01/2021 12:28:58,09/02/2021 12:28:58,09/06/2021 10:40:29,09/06/2021 10:40:31,0:00:01,94.19,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
UAmziPAfjh_01Sep2021_12273429935 apprenticeship,1000029737,1,09/01/2021 12:29:32,09/02/2021 12:29:31,09/07/2021 00:25:55,09/07/2021 00:25:59,0:00:04,107.94,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
SKAGqesguw_01Sep2021_12295279243 apprenticeship,1000029741,1,09/01/2021 12:32:55,09/02/2021 12:32:54,09/08/2021 00:27:28,09/08/2021 00:27:30,0:00:01,131.91,Approved,0,Dastest2@test.com,Provider,ACCOUNTANT & SOLUTIONS LTD,isSXWaNXRe_EmployerDescription,EDUC8 TRAINING (ENGLAND) LIMITED,PE7 8LH,274 Abattoir worker
iBRONecfSS_01Sep2021_12295262663 apprenticeship,1000029742,1,09/01/2021 12:32:57,09/02/2021 12:32:56,09/01/2021 12:33:16,09/01/2021 12:33:17,0:00:00,,Approved,0,Dastest2@test.com,Provider,OUTSIDE  LIMITED,OUTSIDE  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,S32 1BB,274 Abattoir worker
YoxuUxjiQY_01Sep2021_12295275146 apprenticeship,1000029738,1,09/01/2021 12:32:57,09/02/2021 12:32:57,09/01/2021 12:33:14,09/01/2021 12:33:16,0:00:01,,Approved,0,Dastest2@test.com,Provider,OUTSIDE  LIMITED,OUTSIDE  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,S32 1BB,274 Abattoir worker
FKVXuTNSwz_01Sep2021_12360999632 apprenticeship,1000029746,1,09/01/2021 12:38:30,09/02/2021 12:38:29,09/08/2021 10:03:39,09/08/2021 10:03:40,0:00:01,141.42,Approved,0,Dastest2@test.com,Provider,BARBERRY COVENTRY LIMITED,BARBERRY COVENTRY LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,DY9 9XX,274 Abattoir worker
sNwHldKHDb_01Sep2021_12361002820 apprenticeship,1000029747,1,09/01/2021 12:38:33,09/02/2021 12:38:32,09/09/2021 00:27:58,09/09/2021 00:27:59,0:00:01,155.82,Approved,0,Dastest2@test.com,Provider,COVENTRY ACCOUNTANTS LTD,COVENTRY ACCOUNTANTS LTD,EDUC8 TRAINING (ENGLAND) LIMITED,CV6 5AQ,274 Abattoir worker
hsVNaKTMKs_01Sep2021_12434513793 apprenticeship,1000029750,1,09/01/2021 12:45:21,09/02/2021 12:45:21,09/01/2021 12:45:35,09/01/2021 12:45:36,0:00:01,,Referred,0,Dastest2@test.com,Provider,WAT (UK) LIMITED,WAT (UK) LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,BN22 0DY,274 Abattoir worker
UgUEhIoDwc_01Sep2021_12434529288 apprenticeship,1000029751,1,09/01/2021 12:45:25,09/02/2021 12:45:24,09/09/2021 09:12:51,09/09/2021 09:12:52,0:00:01,164.46,Approved,0,Dastest2@test.com,Provider,BOSE ACCOUNTANCY  LTD,BOSE ACCOUNTANCY  LTD,EDUC8 TRAINING (ENGLAND) LIMITED,HP13 7NE,274 Abattoir worker
Clone kgTq_01Sep2021_12522236506 apprenticeship,1000029752,1,09/01/2021 12:53:39,09/02/2021 12:53:38,09/01/2021 12:53:59,09/01/2021 12:54:01,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone zlEE_01Sep2021_12533771650 apprenticeship,1000029755,1,09/01/2021 12:54:34,09/02/2021 12:54:33,09/01/2021 12:54:49,09/01/2021 12:54:52,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,EbmvRycLpa_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
wgQhdxbDyI_01Sep2021_12522278401 apprenticeship,1000029753,1,09/01/2021 12:55:06,09/02/2021 12:55:06,09/01/2021 12:55:53,09/01/2021 12:55:56,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,oXtXGlonlF_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
aCRAkFYGuR_01Sep2021_12522171456 apprenticeship,1000029754,1,09/01/2021 12:55:45,09/02/2021 12:55:40,09/01/2021 12:56:20,09/01/2021 12:56:22,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,vhlqyhdusQ_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone bSqp_01Sep2021_12550988049 apprenticeship,1000029756,1,09/01/2021 12:56:14,09/02/2021 12:56:14,09/01/2021 12:56:29,09/01/2021 12:56:30,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,EbmvRycLpa_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone LkoK_01Sep2021_12555198819 apprenticeship,1000029757,1,09/01/2021 12:56:59,09/02/2021 12:56:58,09/01/2021 12:57:18,09/01/2021 12:57:23,0:00:04,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,EbmvRycLpa_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
EVEWmyEBGO_01Sep2021_12580951823 apprenticeship,1000029759,1,09/01/2021 13:00:42,09/02/2021 13:00:41,09/01/2021 13:01:16,09/01/2021 13:01:18,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
haJVOsIfqI_01Sep2021_12581561769 apprenticeship,1000029760,1,09/01/2021 13:00:42,09/02/2021 13:00:41,09/01/2021 13:01:20,09/01/2021 13:01:25,0:00:04,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,zuqDEAkhPk_EmployerName,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
qRbYtNFTFE_01Sep2021_13020848764 apprenticeship,1000029761,1,09/01/2021 13:04:22,09/02/2021 13:04:20,09/01/2021 13:04:41,09/01/2021 13:04:45,0:00:03,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
koentgdRMf_01Sep2021_13030913674 apprenticeship,1000029762,1,09/01/2021 13:04:52,09/02/2021 13:04:52,09/09/2021 21:34:44,09/09/2021 21:34:46,0:00:02,176.50,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
uAVyiiEfsT_01Sep2021_13053181106 apprenticeship,1000029763,1,09/01/2021 13:07:46,09/02/2021 13:07:45,09/01/2021 13:08:01,09/01/2021 13:08:03,0:00:01,,Approved,0,Dastest2@test.com,Provider,BARBERRY COVENTRY LIMITED,BARBERRY COVENTRY LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,DY9 9XX,274 Abattoir worker
flzGZiPPbL_01Sep2021_13053134685 apprenticeship,1000029764,1,09/01/2021 13:08:00,09/02/2021 13:07:59,09/01/2021 13:08:15,09/01/2021 13:08:17,0:00:01,,Approved,0,Dastest2@test.com,Provider,AS Financial Services,AS Financial Services,EDUC8 TRAINING (ENGLAND) LIMITED,CV1 2WT,274 Abattoir worker
hTVKMhhCzM_01Sep2021_13081723899 apprenticeship,1000029766,1,09/01/2021 13:10:10,09/02/2021 13:10:10,09/09/2021 12:05:23,09/09/2021 12:08:33,0:03:09,166.97,Referred,0,DasTest3@test.com,Provider,REGULUS BIDCO  LIMITED,REGULUS BIDCO  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,HP17 8LJ,274 Abattoir worker
AxhqGIzlcT_01Sep2021_13112431785 apprenticeship,1000029768,1,09/01/2021 13:14:21,09/02/2021 13:14:21,09/01/2021 13:14:57,09/01/2021 13:14:59,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,PetxRyILoW_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
ysgNiUtCSf_01Sep2021_13112444107 apprenticeship,1000029769,1,09/01/2021 13:14:35,09/02/2021 13:14:34,09/01/2021 13:15:08,09/01/2021 13:15:09,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
nVMOijxgAH_01Sep2021_13112420374 apprenticeship,1000029770,1,09/01/2021 13:14:50,09/02/2021 13:14:48,09/09/2021 14:04:03,09/09/2021 14:04:08,0:00:04,168.82,Approved,0,DasTest3@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
AyOXHDFfKW_01Sep2021_13134829411 apprenticeship,1000029773,1,09/01/2021 13:17:30,09/02/2021 13:17:28,09/01/2021 13:17:41,09/01/2021 13:17:43,0:00:01,,Approved,0,Dastest2@test.com,Employer,LOAD ESTATES LIMITED,LOAD ESTATES LIMITED,BALTIC TRAINING SERVICES LIMITED,B15 3BE,274 Abattoir worker
KoaKTQdiEB_01Sep2021_13154820294 apprenticeship,1000029772,1,09/01/2021 13:17:35,09/02/2021 13:17:33,09/09/2021 15:27:00,09/09/2021 15:27:04,0:00:03,170.16,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
yYnYigCpra_01Sep2021_13184782745 apprenticeship,1000029775,1,09/01/2021 13:21:20,09/02/2021 13:21:20,09/09/2021 16:30:54,09/09/2021 16:30:56,0:00:01,171.16,Approved,0,Dastest2@test.com,Provider,OUTSIDE  LIMITED,OUTSIDE  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,S32 1BB,274 Abattoir worker
zzBbsMhTVb_01Sep2021_13184786541 apprenticeship,1000029774,1,09/01/2021 13:21:23,09/02/2021 13:21:22,09/01/2021 13:21:37,09/01/2021 13:21:38,0:00:01,,Referred,0,Dastest2@test.com,Provider,BARRY & BARRY  LIMITED,BARRY & BARRY  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,BL1 4QR,274 Abattoir worker
ruhmHhEoYH_01Sep2021_13184867197 apprenticeship,1000029776,1,09/01/2021 13:21:27,09/02/2021 13:21:26,09/10/2021 00:25:24,09/10/2021 00:25:25,0:00:01,179.07,Approved,0,Dastest2@test.com,Provider,BUTCHER & BAKER LIMITED,zPfVjebFyx_EmployerDescription,EDUC8 TRAINING (ENGLAND) LIMITED,S10 5PU,274 Abattoir worker
uWewNTYVQM_01Sep2021_13221586521 apprenticeship,1000029777,1,09/01/2021 13:23:53,09/02/2021 13:23:51,09/10/2021 08:25:23,09/10/2021 08:25:25,0:00:01,187.03,Approved,0,Dastest2@test.com,Provider,TINMAN  LIMITED,TINMAN  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,SK9 4LY,274 Abattoir worker
FJKnXLgWuu_01Sep2021_13221583256 apprenticeship,1000029778,1,09/01/2021 13:23:57,09/02/2021 13:23:56,09/01/2021 13:24:09,09/01/2021 13:24:10,0:00:01,,Approved,0,Dastest2@test.com,Provider,TINMAN  LIMITED,TINMAN  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,SK9 4LY,274 Abattoir worker
ILfqCTKszU_01Sep2021_13241909918 apprenticeship,1000029779,1,09/01/2021 13:26:14,09/02/2021 13:26:12,09/01/2021 13:26:28,09/01/2021 13:26:29,0:00:01,,Referred,0,Dastest2@test.com,Employer,LOAD ESTATES LIMITED,LOAD ESTATES LIMITED,BALTIC TRAINING SERVICES LIMITED,B15 3BE,274 Abattoir worker
aCmjivLRuP_01Sep2021_14421691081 apprenticeship,1000029780,1,09/01/2021 13:44:06,09/02/2021 13:44:06,09/01/2021 13:44:24,09/01/2021 13:44:26,0:00:01,,Referred,0,Dastest2@test.com,Employer,LOAD ESTATES LIMITED,LOAD ESTATES LIMITED,BALTIC TRAINING SERVICES LIMITED,B15 3BE,274 Abattoir worker
aCmjivLRuP_01Sep2021_14421691081 apprenticeship,1000029780,2,09/01/2021 13:44:43,09/02/2021 13:44:38,09/10/2021 09:46:36,09/10/2021 09:46:37,0:00:01,188.03,Approved,0,Dastest2@test.com,Employer,LOAD ESTATES LIMITED,LOAD ESTATES LIMITED,BALTIC TRAINING SERVICES LIMITED,B15 3BE,274 Abattoir worker
Clone MpIy_01Sep2021_14310482001 apprenticeship,1000029781,1,09/01/2021 14:33:09,09/02/2021 14:33:08,09/01/2021 14:33:34,09/01/2021 14:33:39,0:00:05,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone DqSm_01Sep2021_14324970623 apprenticeship,1000029784,1,09/01/2021 14:34:25,09/02/2021 14:34:24,09/01/2021 14:34:49,09/01/2021 14:34:52,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,EbmvRycLpa_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone hSsf_01Sep2021_14341945505 apprenticeship,1000029785,1,09/01/2021 14:36:19,09/02/2021 14:36:18,09/01/2021 14:36:44,09/01/2021 14:36:48,0:00:04,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone VNmV_01Sep2021_14352026347 apprenticeship,1000029786,1,09/01/2021 14:37:22,09/02/2021 14:37:20,09/01/2021 14:37:45,09/01/2021 14:37:47,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,EbmvRycLpa_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
VpiTpDcisS_01Sep2021_14484266045 apprenticeship,1000029795,1,09/01/2021 14:53:19,09/02/2021 14:53:19,09/01/2021 14:53:41,09/01/2021 14:53:44,0:00:02,,Referred,0,Dastest2@test.com,Provider,COVENTRY ACCOUNTANTS LTD,COVENTRY ACCOUNTANTS LTD,EDUC8 TRAINING (ENGLAND) LIMITED,CV6 5AQ,274 Abattoir worker
EznuKMuKih_01Sep2021_14484191067 apprenticeship,1000029797,1,09/01/2021 14:53:37,09/02/2021 14:53:31,09/01/2021 14:53:53,09/01/2021 14:53:55,0:00:02,,Approved,0,Dastest2@test.com,Provider,AS Financial Services,AS Financial Services,EDUC8 TRAINING (ENGLAND) LIMITED,CV1 2WT,274 Abattoir worker
llubrwPnEJ_01Sep2021_14484198103 apprenticeship,1000029796,1,09/01/2021 14:53:40,09/02/2021 14:53:39,09/10/2021 16:33:11,09/10/2021 16:33:13,0:00:01,193.66,Approved,0,Dastest2@test.com,Provider,ACCOUNTANT DR LTD,yJKxEgLiiX_EmployerDescription,EDUC8 TRAINING (ENGLAND) LIMITED,DA8 1DR,274 Abattoir worker
wBkkbVuHll_01Sep2021_17030154765 apprenticeship,1000029805,1,09/01/2021 16:06:02,09/02/2021 16:06:01,09/01/2021 16:16:31,09/01/2021 16:16:33,0:00:01,,Referred,0,Dastest2@test.com,Employer,LOAD ESTATES LIMITED,LOAD ESTATES LIMITED,BALTIC TRAINING SERVICES LIMITED,B15 3BE,274 Abattoir worker
Clone Kvud_01Sep2021_16051915492 apprenticeship,1000029806,1,09/01/2021 16:06:39,09/02/2021 16:06:39,09/01/2021 16:07:01,09/01/2021 16:07:05,0:00:03,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
rsVTYgtPhE_01Sep2021_16051920600 apprenticeship,1000029808,1,09/01/2021 16:08:52,09/02/2021 16:08:50,09/01/2021 16:09:25,09/01/2021 16:09:30,0:00:04,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,JvkkFFXrCG_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
HMtpBKvYrA_01Sep2021_16051947417 apprenticeship,1000029807,1,09/01/2021 16:08:53,09/02/2021 16:08:53,09/01/2021 16:09:42,09/01/2021 16:09:43,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
YNKMSCNnPM_01Sep2021_16051915521 apprenticeship,1000029810,1,09/01/2021 16:08:54,09/02/2021 16:08:54,09/01/2021 16:09:35,09/01/2021 16:09:43,0:00:07,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,yFsGpOPVpx_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
SNFERbwpFO_01Sep2021_16051915492 apprenticeship,1000029809,1,09/01/2021 16:09:25,09/02/2021 16:09:25,09/01/2021 16:10:01,09/01/2021 16:10:05,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,blQFLabJMh_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone PMQB_01Sep2021_16093178842 apprenticeship,1000029811,1,09/01/2021 16:11:07,09/02/2021 16:11:02,09/01/2021 16:11:23,09/01/2021 16:11:26,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone hBOQ_01Sep2021_16102934821 apprenticeship,1000029812,1,09/01/2021 16:11:51,09/02/2021 16:11:50,09/01/2021 16:12:12,09/01/2021 16:12:14,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
Clone xJjA_01Sep2021_16110096540 apprenticeship,1000029814,1,09/01/2021 16:12:29,09/02/2021 16:12:28,09/01/2021 16:12:44,09/01/2021 16:12:47,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
eyVtWCKghT_01Sep2021_16121382303 apprenticeship,1000029815,1,09/01/2021 16:16:04,09/02/2021 16:16:02,09/10/2021 11:14:49,09/10/2021 11:14:54,0:00:04,186.98,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
csjJfECxTL_01Sep2021_16132386886 apprenticeship,1000029817,1,09/01/2021 16:16:43,09/02/2021 16:16:40,09/01/2021 16:17:17,09/01/2021 16:17:23,0:00:05,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
wBkkbVuHll_01Sep2021_17030154765 apprenticeship,1000029805,2,09/01/2021 16:16:51,09/02/2021 16:16:47,09/10/2021 14:07:52,09/10/2021 14:07:54,0:00:01,189.85,Approved,0,Dastest2@test.com,Employer,LOAD ESTATES LIMITED,LOAD ESTATES LIMITED,BALTIC TRAINING SERVICES LIMITED,B15 3BE,274 Abattoir worker
zpZccgNung_01Sep2021_16134037941 apprenticeship,1000029818,1,09/01/2021 16:17:29,09/02/2021 16:17:29,09/01/2021 16:18:09,09/01/2021 16:18:11,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,lgntegPpVk_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
FqUUVXEUlB_01Sep2021_17180896420 apprenticeship,1000029819,1,09/01/2021 16:19:47,09/02/2021 16:19:47,09/01/2021 16:20:07,09/01/2021 16:20:13,0:00:05,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,FKqJZJJZhq_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
NlWWVKsYLp_01Sep2021_16161880398 apprenticeship,1000029821,1,09/01/2021 16:21:31,09/02/2021 16:21:31,09/01/2021 16:21:43,09/01/2021 16:21:45,0:00:01,,Approved,0,Dastest2@test.com,Employer,LOAD ESTATES LIMITED,LOAD ESTATES LIMITED,BALTIC TRAINING SERVICES LIMITED,B15 3BE,274 Abattoir worker
mUfvEhrPwV_01Sep2021_16191956302 apprenticeship,1000029822,1,09/01/2021 16:21:44,09/02/2021 16:21:44,,,,233.43,,0,,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
mDGghtWLaj_01Sep2021_17215557107 apprenticeship,1000029823,1,09/01/2021 16:24:00,09/02/2021 16:23:59,09/01/2021 16:24:15,09/01/2021 16:24:16,0:00:01,,Approved,0,Dastest2@test.com,Employer,LOAD ESTATES LIMITED,LOAD ESTATES LIMITED,BALTIC TRAINING SERVICES LIMITED,B15 3BE,274 Abattoir worker
